Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Date1,LT_Rev,Date2,ST_Rev,Date3,Mom
198103,    3.66,    2.85,    0.61,   -2.27,   -0.56,    1.21,194809,   1.24,194310,   3.08,194409,  -1.31
198104,   -2.16,    4.72,    2.28,    0.81,    1.54,    1.08,194810,   0.37,194311,  -0.37,194410,  -1.32
198105,    0.13,    2.36,   -0.43,    0.47,   -1.78,    1.15,194811,   0.75,194312,   8.62,194411,   1.36
198106,   -2.34,   -0.93,    5.14,   -1.29,    2.69,    1.35,194812,   0.66,194401,   1.18,194412,   3.31
198107,   -1.55,   -1.95,   -0.61,    1.08,   -2.66,    1.24,194901,   0.78,194402,   0.23,194501,   0.03
198108,   -7.02,   -1.82,    4.71,   -0.31,    1.38,    1.28,194902,   1.03,194403,  -0.23,194502,   3.20
198109,   -7.20,   -2.46,    5.11,    0.08,    2.53,    1.24,194903,  -0.52,194404,   1.94,194503,  -3.07
198110,    4.92,    2.28,   -4.09,    3.12,   -2.79,    1.21,194904,   0.09,194405,   2.53,194504,   4.71
198111,    3.40,   -1.58,    1.91,    0.14,    1.00,    1.07,194905,   1.29,194406,  -1.38,194505,   0.15
198112,   -3.63,    1.18,    0.79,    0.21,    2.45,    0.87,194906,  -0.74,194407,   3.08,194506,   4.14
198201,   -3.23,   -1.10,    3.19,   -1.43,    1.95,    0.80,194907,  -0.38,194408,   2.31,194507,  -2.68
198202,   -5.86,    0.40,    6.09,   -3.55,    4.57,    0.92,194908,  -1.51,194409,   1.22,194508,  -1.30
198203,   -1.82,    0.02,    3.76,   -1.28,    2.37,    0.98,194909,  -0.57,194410,   0.51,194509,   1.37
198204,    3.24,    1.21,   -3.08,    1.50,   -0.05,    1.13,194910,  -0.23,194411,   0.69,194510,   0.17
